focal_is_giver,initial_focal_standing,initial_partner_standing,move_intent,eM,partners_observed_move,focal_calls_arb,eA,partners_move_arb_declared,new_focal_standing,new_partner_standing
1,0,0,1,0,1,1,1,0,0,0
1,0,1,1,0,1,1,1,0,0,1
1,1,0,1,0,1,1,1,0,1,0
1,1,1,1,0,1,1,1,0,0,1
1,0,0,1,1,0,1,1,0,0,0
1,0,1,1,1,0,1,1,0,0,1
1,1,0,1,1,0,1,1,0,1,0
1,1,1,1,1,0,1,1,0,0,1
1,0,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,1,0,0,0,1
1,1,0,0,0,0,1,0,0,1,0
1,1,1,0,0,0,1,0,0,0,1
1,0,0,1,1,0,1,0,1,1,0
1,0,1,1,1,0,1,0,1,1,0
1,1,0,1,1,0,1,0,1,0,0
1,1,1,1,1,0,1,0,1,1,0
1,0,0,0,1,1,1,0,1,1,0
1,0,1,0,1,1,1,0,1,1,0
1,1,0,0,1,1,1,0,1,0,0
1,1,1,0,1,1,1,0,1,1,0
1,0,0,0,0,0,1,1,1,1,0
1,0,1,0,0,0,1,1,1,1,0
1,1,0,0,0,0,1,1,1,0,0
1,1,1,0,0,0,1,1,1,1,0
1,0,0,1,0,1,0,NA,NA,1,0
1,0,1,1,0,1,0,NA,NA,1,1
1,1,0,0,0,0,0,NA,NA,1,0
1,1,1,1,0,1,0,NA,NA,1,1
1,0,0,0,1,1,0,NA,NA,0,0
1,0,1,0,1,1,0,NA,NA,0,1
1,1,0,1,1,0,0,NA,NA,0,0
1,1,1,0,1,1,0,NA,NA,0,1
1,0,0,0,0,0,0,NA,NA,0,0
1,0,1,0,0,0,0,NA,NA,0,1
1,1,0,1,0,1,0,NA,NA,0,0
1,1,1,0,0,0,0,NA,NA,0,1
1,0,0,1,1,0,0,NA,NA,1,0
1,0,1,1,1,0,0,NA,NA,1,1
1,1,0,0,1,1,0,NA,NA,1,0
1,1,1,1,1,0,0,NA,NA,1,1
0,0,0,1,0,1,1,1,0,0,0
0,0,1,1,0,1,1,1,0,0,1
0,1,0,1,0,1,1,1,0,1,0
0,1,1,1,0,1,1,1,0,1,0
0,0,0,1,1,0,1,1,0,0,0
0,0,1,1,1,0,1,1,0,0,1
0,1,0,1,1,0,1,1,0,1,0
0,1,1,1,1,0,1,1,0,1,0
0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0,0,1,0
0,1,1,0,0,0,1,0,0,1,0
0,0,0,1,1,0,1,0,1,0,1
0,0,1,1,1,0,1,0,1,0,0
0,1,0,1,1,0,1,0,1,0,1
0,1,1,1,1,0,1,0,1,0,1
0,0,0,0,0,1,1,0,1,0,1
0,0,1,0,0,1,1,0,1,0,0
0,1,0,0,0,1,1,0,1,0,1
0,1,1,0,0,1,1,0,1,0,1
0,0,0,0,0,0,1,1,1,0,1
0,0,1,0,0,0,1,1,1,0,0
0,1,0,0,0,0,1,1,1,0,1
0,1,1,0,0,0,1,1,1,0,1
0,0,0,1,0,1,0,NA,NA,0,1
0,0,1,1,0,1,0,NA,NA,0,0
0,1,0,0,0,0,0,NA,NA,1,1
0,1,1,1,0,1,0,NA,NA,1,1
0,0,0,0,1,1,0,NA,NA,0,1
0,0,1,0,1,1,0,NA,NA,0,0
0,1,0,1,1,0,0,NA,NA,1,1
0,1,1,0,1,1,0,NA,NA,1,1
0,0,0,0,0,0,0,NA,NA,0,1
0,0,1,0,0,0,0,NA,NA,0,1
0,1,0,1,0,1,0,NA,NA,1,1
0,1,1,0,0,0,0,NA,NA,1,1
0,0,0,1,1,0,0,NA,NA,0,1
0,0,1,1,1,0,0,NA,NA,0,1
0,1,0,0,1,1,0,NA,NA,1,1
0,1,1,1,1,0,0,NA,NA,1,1
